sgRNA	gene	ERS717283.plasmid	HT29_c904R1	HT29_c904R2	HT29_c904R3
CCT8L2_CCDS13738.1_ex0_22:17072628-17072651:+_5-1	CCT8L2	3512.312441027381	3591.2060546258986	3514.5103311573516	3136.9353058232095
CCT8L2_CCDS13738.1_ex0_22:17072761-17072784:+_5-2	CCT8L2	5308.15580776737	4842.3057831135575	5132.704367056511	4537.731016186901
CCT8L2_CCDS13738.1_ex0_22:17072858-17072881:+_5-3	CCT8L2	7729.071727571553	8430.571585444826	9904.86380691898	7389.396688719922
CCT8L2_CCDS13738.1_ex0_22:17073260-17073283:+_5-4	CCT8L2	10507.17196341242	11529.966251668315	11017.18996192408	11328.051783095074
CCT8L2_CCDS13738.1_ex0_22:17073287-17073310:+_5-5	CCT8L2	2391.15056013446	2153.1146261818126	1624.2926143065242	2413.052563697095
XKR3_CCDS42975.1_ex1_22:17280673-17280696:-_5-1	XKR3	605.2289799510459	507.4998437852128	294.6720428817885	434.48716845433466
XKR3_CCDS42975.1_ex1_22:17280787-17280810:-_5-2	XKR3	2718.5695165014195	2379.808046244541	3678.010725315624	2755.8759840058733
XKR3_CCDS42975.1_ex1_22:17280808-17280831:-_5-3	XKR3	2321.6980542384385	3351.4256473259406	3602.6920544115665	3029.277178614235
XKR3_CCDS42975.1_ex2_22:17288616-17288639:+_5-5	XKR3	2073.653390324075	2168.619636230107	2098.931575146444	1867.080413499377
GAB4_CCDS42976.1_ex6_22:17450920-17450943:+_5-1	GAB4	11152.088089589763	11548.10302154204	11556.451821080846	11085.040965470698
GAB4_CCDS42976.1_ex6_22:17451031-17451054:+_5-2	GAB4	1448.5808372598804	1429.5020731937732	1114.7453162915137	1051.5259555487935
GAB4_CCDS42976.1_ex7_22:17468927-17468950:+_5-3	GAB4	5645.496550690904	2246.131844392504	1536.1406040704755	1984.3810550704025
GAB4_CCDS42976.1_ex9_22:17488869-17488892:-_5-5	GAB4	5804.245135596097	6855.590637895907	4367.981518275878	6025.154374749591
IL17RA_CCDS13739.1_ex0_22:17566112-17566135:-_5-1	IL17RA	7858.054952807021	7804.367714704191	9111.119152959312	9127.238628705145
IL17RA_CCDS13739.1_ex2_22:17578794-17578817:+_5-2	IL17RA	5218.859728758199	5796.013283865518	5640.53303782979	6498.78727926391
