sgRNA	gene	HT29_c904R1	HT29_c904R2	HT29_c904R3	avgFC
A4GALT_CCDS14041.1_ex0_22:43089610-43089633:-_5-4	A4GALT	0.47593772069725276	-0.8744504897052501	0.5480112986612182	0.04983284321774031
A4GALT_CCDS14041.1_ex0_22:43089467-43089490:-_5-2	A4GALT	-0.21243317063641032	0.10251448088790013	0.14868973685056222	0.012923682367350678
A4GALT_CCDS14041.1_ex0_22:43089421-43089444:+_5-1	A4GALT	0.0013300452611512865	-0.03487964953651587	0.1449627180173415	0.03713770458065897
A4GALT_CCDS14041.1_ex0_22:43089831-43089854:+_5-5	A4GALT	0.5514888273217224	0.34788613971290283	-0.10966352506523819	0.26323714732312903
A4GALT_CCDS14041.1_ex0_22:43089524-43089547:-_5-3	A4GALT	0.22276324611940163	0.3113124364517049	0.15174235115268483	0.2286060112412638
ACO2_CCDS14017.1_ex1_22:41895849-41895872:+_5-1	ACO2	0.1441467674987395	-1.0347363111220154	-1.6128307832166942	-0.83447344227999
ACO2_CCDS14017.1_ex5_22:41911786-41911809:+_5-3	ACO2	-1.0843339129763043	-1.2033606146955016	-1.1415479557697406	-1.143080827813849
ACO2_CCDS14017.1_ex5_22:41911869-41911892:+_5-4	ACO2	-1.4934360042377834	-1.536321807673947	-0.6556821153467756	-1.2284799757528353
ACO2_CCDS14017.1_ex6_22:41913578-41913601:+_5-5	ACO2	-0.6724130320383016	-1.0568500493857864	-1.0677629880140547	-0.9323420231460475
ACO2_CCDS14017.1_ex2_22:41903868-41903891:+_5-2	ACO2	-0.7455313878091943	-0.9709350837395126	-0.48796946993583173	-0.7348119804948462
ACR_CCDS14101.1_ex1_22:51177845-51177868:+_5-2	ACR	0.047730559440761225	0.8338628986139056	0.4398494744757041	0.44048097751012366
ACR_CCDS14101.1_ex3_22:51182519-51182542:+_5-4	ACR	-0.13738757695119974	-0.6690053564862561	-0.1261810547705951	-0.31085799606935033
ACR_CCDS14101.1_ex1_22:51177740-51177763:+_5-1	ACR	0.3246136061116984	-0.12402657342760623	0.4497901461249508	0.21679239293634767
ACR_CCDS14101.1_ex3_22:51182537-51182560:-_5-5	ACR	-0.721274303785318	-0.5228725140090673	-0.1240073433941361	-0.45605138706284043
ACR_CCDS14101.1_ex2_22:51178286-51178309:-_5-3	ACR	0.1730180974931518	0.11193397810579264	0.029309366261369325	0.10475381395343791
ADM2_CCDS33682.1_ex1_22:50921151-50921174:+_5-5	ADM2	0.48794076870466424	0.269850111671834	0.02070857360671362	0.25949981799440397
ADM2_CCDS33682.1_ex1_22:50921103-50921126:-_5-4	ADM2	0.5623787347334408	0.5479486810950063	-0.09198972556357599	0.339445896754957
ADM2_CCDS33682.1_ex1_22:50921047-50921070:-_5-2	ADM2	0.4992724200940669	0.6039760101148035	0.20453256461068242	0.4359269982731843
ADM2_CCDS33682.1_ex0_22:50920364-50920387:+_5-1	ADM2	0.24040774973366574	0.05739501870323703	0.6663060596600332	0.32136960936564535
ADM2_CCDS33682.1_ex1_22:50921064-50921087:+_5-3	ADM2	0.337208874857097	0.5018708619009684	0.5008729752966039	0.4466509040182231
ADORA2A_CCDS13826.1_ex1_22:24836649-24836672:+_5-4	ADORA2A	-0.025082398298184642	-0.05814325009083558	0.48608082307781664	0.1342850582295988
