sgRNA	gene	ERS717283.plasmid	HT29_c904R1	HT29_c904R2	HT29_c904R3
A4GALT_CCDS14041.1_ex0_22:43089610-43089633:-_5-4	A4GALT	3700.826385602297	5147.385908690639	2018.4313696966171	5411.094192494844
A4GALT_CCDS14041.1_ex0_22:43089467-43089490:-_5-2	A4GALT	6994.859522385039	6037.057547229762	7510.019420582908	7754.29123120913
A4GALT_CCDS14041.1_ex0_22:43089421-43089444:+_5-1	A4GALT	8979.216833699944	8987.499205650323	8764.72000174567	9928.39157640795
A4GALT_CCDS14041.1_ex0_22:43089831-43089854:+_5-5	A4GALT	3214.6588443301457	4711.628371446987	4091.4149385742235	2979.322695272459
A4GALT_CCDS14041.1_ex0_22:43089524-43089547:-_5-3	A4GALT	6052.2897995104595	7062.903416157526	7510.019420582908	6723.606623114873
ACO2_CCDS14017.1_ex1_22:41895849-41895872:+_5-1	ACO2	1527.9551297124765	1688.5604568191513	745.546722140192	499.23785704565535
ACO2_CCDS14017.1_ex5_22:41911786-41911809:+_5-3	ACO2	6449.16126177344	3041.2244786796546	2800.3462246241356	2922.9571307673045
ACO2_CCDS14017.1_ex5_22:41911869-41911892:+_5-4	ACO2	3323.7984964524653	1180.1766633682241	1145.5961828007828	2109.6825571929303
ACO2_CCDS14017.1_ex6_22:41913578-41913601:+_5-5	ACO2	4861.675412721516	3050.302760705564	2336.6525315857234	2319.0403682120764
ACO2_CCDS14017.1_ex2_22:41903868-41903891:+_5-2	ACO2	4901.362558947814	2923.206812342832	2500.309129128692	3494.6649993195874
ACR_CCDS14101.1_ex1_22:51177845-51177868:+_5-2	ACR	3442.8599351313596	3558.686554156491	6137.122407861335	4670.289630427098
ACR_CCDS14101.1_ex3_22:51182519-51182542:+_5-4	ACR	6230.881957528801	5664.847984167477	3918.6663078344227	5709.0264620220905
ACR_CCDS14101.1_ex1_22:51177740-51177763:+_5-1	ACR	7292.513119082274	9132.751718064874	6691.736432868063	9960.600470410898
ACR_CCDS14101.1_ex3_22:51182537-51182560:-_5-5	ACR	5238.703301871348	3177.398709068296	3645.9053119294754	4807.177429939617
ACR_CCDS14101.1_ex2_22:51178286-51178309:-_5-3	ACR	4315.977152109917	4865.959165887447	4664.213029974615	4404.5662549027975
ADM2_CCDS33682.1_ex1_22:50921151-50921174:+_5-5	ADM2	1508.1115565993275	2115.239712036894	1818.4066393663215	1529.9224651399115
ADM2_CCDS33682.1_ex1_22:50921103-50921126:-_5-4	ADM2	4831.910053051793	7135.529672364802	7064.50979393816	4533.4018309145795
ADM2_CCDS33682.1_ex1_22:50921047-50921070:-_5-2	ADM2	6191.194811302502	8751.463872976678	9410.254358720715	7134.270021652429
ADM2_CCDS33682.1_ex0_22:50920364-50920387:+_5-1	ADM2	4464.803950458535	5274.481857053371	4646.028963580951	7085.956680648011
ADM2_CCDS33682.1_ex1_22:50921064-50921087:+_5-3	ADM2	16757.89749405437	21170.55368442076	23730.206643730497	23713.798209668625
ADORA2A_CCDS13826.1_ex1_22:24836649-24836672:+_5-4	ADORA2A	2678.882370275121	2632.701787513731	2573.045394703345	3752.336151343151
ADORA2A_CCDS13826.1_ex1_22:24836555-24836578:+_5-3	ADORA2A	4623.552535363728	5274.481857053371	6246.226806223315	5362.780851490426
ADORA2A_CCDS13826.1_ex0_22:24829516-24829539:+_5-1	ADORA2A	8274.769988183152	6227.7014697738605	7846.424648865678	5129.266369969072
ADORA2A_CCDS13826.1_ex1_22:24836668-24836691:+_5-5	ADORA2A	3085.6756190946767	5120.151062612911	3073.1072205290834	2882.6960132636227
ADORA2A_CCDS13826.1_ex0_22:24829565-24829588:-_5-2	ADORA2A	5298.234021210795	5492.360625675196	4055.046805786897	5934.488720042708
ADRBK2_CCDS13832.1_ex1_22:26000339-26000362:-_5-1	ADRBK2	4117.541420978428	5011.211678301998	5027.894357847879	4581.715171918998
ADRBK2_CCDS13832.1_ex10_22:26083499-26083522:-_5-4	ADRBK2	4941.049705174112	5456.04749757156	5200.6429885876805	5145.370816970544
ADRBK2_CCDS13832.1_ex3_22:26057577-26057600:-_5-2	ADRBK2	4544.178242911132	5220.012164897915	4218.703403329867	5507.7208745036805
ADRBK2_CCDS13832.1_ex7_22:26070424-26070447:+_5-3	ADRBK2	3095.597405651251	3831.035014933774	3745.917677094623	3180.6282827908685
ADRBK2_CCDS13832.1_ex10_22:26083522-26083545:-_5-5	ADRBK2	2410.994133247609	2187.8659682441694	2145.7198344522594	2826.3304487584683
ADSL_CCDS14001.1_ex3_22:40750297-40750320:-_5-4	ADSL	2361.3852004647365	2496.5275571250895	1763.854440185332	644.1778800589101
ADSL_CCDS14001.1_ex4_22:40754960-40754983:+_5-5	ADSL	3165.049911547273	1643.1690466896046	1381.9890459184044	1376.9302186259201
ADSL_CCDS14001.1_ex3_22:40750276-40750299:-_5-3	ADSL	5268.468661541072	1752.1084310005174	3036.7390877417574	3011.5315892754047
ADSL_CCDS14001.1_ex3_22:40750255-40750278:-_5-2	ADSL	2559.8209315962267	1388.9771499641406	772.8228217306867	1111.2068431016198
ADSL_CCDS14001.1_ex0_22:40742659-40742682:+_5-1	ADSL	2639.195224048823	1933.6740715187057	563.7060582035597	1312.5124306200294
AIFM3_CCDS13786.1_ex6_22:21329049-21329072:+_5-3	AIFM3	4286.211792440194	4339.418808384701	3936.8503742280864	3921.4328448586148
AIFM3_CCDS13786.1_ex8_22:21330511-21330534:+_5-5	AIFM3	1111.2400943363466	1488.8382522491443	1645.658008626521	1505.7657946377024
AIFM3_CCDS13786.1_ex2_22:21328134-21328157:+_5-1	AIFM3	4812.066479938644	3694.8607845451324	4555.108631612636	4758.864088935198
AIFM3_CCDS13786.1_ex7_22:21330027-21330050:+_5-4	AIFM3	5764.557989369798	6963.042313872523	5327.931453343323	4372.357360899852
AIFM3_CCDS13786.1_ex3_22:21328360-21328383:-_5-2	AIFM3	5843.932281822394	5483.282343649288	5118.814689816196	4525.349607413843
ALG12_CCDS14081.1_ex7_22:50307101-50307124:+_5-5	ALG12	10904.0434256754	14125.806832315053	12174.232450557523	14220.22670230044
ALG12_CCDS14081.1_ex7_22:50307068-50307091:+_5-4	ALG12	3036.066686311804	2941.3633763946514	3727.733610700959	3518.821669821796
ALG12_CCDS14081.1_ex6_22:50304070-50304093:+_5-2	ALG12	4365.5860848927905	4865.959165887447	4646.028963580951	4090.529538374079
ALG12_CCDS14081.1_ex6_22:50304201-50304224:-_5-3	ALG12	2123.262323106948	2051.691737855528	2845.8063906082934	2737.755990250368
ALG12_CCDS14081.1_ex4_22:50302940-50302963:-_5-1	ALG12	7064.3120282810605	6890.4160576652475	7719.136184110035	9888.13045890427
ANKRD54_CCDS13959.1_ex5_22:38234520-38234543:-_5-2	ANKRD54	4117.541420978428	5601.300009986111	3855.022075456602	4541.454054415316
ANKRD54_CCDS13959.1_ex7_22:38240102-38240125:-_5-5	ANKRD54	9128.04363204856	10294.771817381277	9092.033196831608	10121.644940425624
ANKRD54_CCDS13959.1_ex7_22:38239933-38239956:+_5-4	ANKRD54	1021.9440153271759	671.7928699172969	791.0068881243499	708.5956680648011
ANKRD54_CCDS13959.1_ex4_22:38229715-38229738:-_5-1	ANKRD54	2956.6923938592076	3567.764836182401	5600.692449248271	3784.5450453460962
ANKRD54_CCDS13959.1_ex7_22:38239915-38239938:+_5-3	ANKRD54	12729.652152085113	9105.516871987145	9437.53045831121	10049.174928918997
AP1B1_CCDS13855.1_ex19_22:29755859-29755882:+_5-5	AP1B1	1577.5640624953492	2060.7700198814377	1118.3200832102877	1409.1391126288656
AP1B1_CCDS13855.1_ex18_22:29754854-29754877:+_5-4	AP1B1	11459.663472843573	9069.203743883507	9264.781827571409	9437.205942863033
AP1B1_CCDS13855.1_ex12_22:29745269-29745292:-_5-1	AP1B1	3601.608520036552	3694.8607845451324	3073.1072205290834	3929.4850683593513
AP1B1_CCDS13855.1_ex18_22:29754773-29754796:-_5-3	AP1B1	3333.7202830090396	3495.138579975125	3809.561909472444	2713.599319748159
AP1B1_CCDS13855.1_ex15_22:29747743-29747766:-_5-2	AP1B1	4593.787175694004	3141.085580964658	4327.807801691845	3953.6417388615605
APOBEC3A_CCDS13981.1_ex2_22:39357408-39357431:+_5-4	APOBEC3A	5933.228360831565	5755.630804426571	5400.667718917975	5113.161922967598
APOBEC3A_CCDS13981.1_ex1_22:39355633-39355656:-_5-2	APOBEC3A	6478.926621443164	6336.640854084773	7537.295520173403	4428.722925405007
APOBEC3A_CCDS13981.1_ex2_22:39357468-39357491:+_5-5	APOBEC3A	4395.351444562514	4139.696603814695	2609.4135274906716	4815.229653440353
APOBEC3A_CCDS13981.1_ex1_22:39355606-39355629:+_5-1	APOBEC3A	2996.379540085506	2260.4922244514446	3164.0275524973995	3470.5083288173782
APOBEC3A_CCDS13981.1_ex1_22:39355669-39355692:+_5-3	APOBEC3A	2708.647729944845	4675.31524334335	2627.597593884335	1900.3247461737847
APOBEC3B_CCDS13982.1_ex4_22:39385553-39385576:+_5-5	APOBEC3B	4226.681073100747	4484.671320799252	4082.322905377392	4138.842879378497
APOBEC3B_CCDS13982.1_ex4_22:39385506-39385529:-_5-3	APOBEC3B	1964.5137382017554	2687.1714796691876	2582.1374279001766	1312.5124306200294
APOBEC3B_CCDS13982.1_ex4_22:39385527-39385550:-_5-4	APOBEC3B	3690.9045990457225	3703.939066571042	6591.724067702916	4090.529538374079
APOBEC3B_CCDS13982.1_ex2_22:39381811-39381834:-_5-1	APOBEC3B	1339.4411851375605	2678.093197643278	1336.5288799342463	2520.3459557304855
APOBEC3B_CCDS13982.1_ex4_22:39385464-39385487:-_5-2	APOBEC3B	4623.552535363728	5564.9868818824725	5364.299586130648	5322.5197339867445
APOBEC3C_CCDS13983.1_ex1_22:39411709-39411732:+_5-3	APOBEC3C	6707.127712244378	5265.403575027462	7864.608715259341	5821.7575910324
APOBEC3C_CCDS13983.1_ex1_22:39411661-39411684:+_5-1	APOBEC3C	1984.3573113149046	1861.0478153114307	1854.774772153648	2053.316992687776
APOBEC3C_CCDS13983.1_ex2_22:39413973-39413996:+_5-5	APOBEC3C	2946.7706073026334	3095.694170835111	3654.9973451263068	3003.479365774668
APOBEC3C_CCDS13983.1_ex2_22:39413808-39413831:-_5-4	APOBEC3C	2043.8880306543517	1915.517507466887	2191.1800004364177	877.6923615802649
APOBEC3C_CCDS13983.1_ex1_22:39411694-39411717:-_5-2	APOBEC3C	5318.077594323944	4502.827884851071	5118.814689816196	4702.498524430043
APOBEC3D_CCDS46709.1_ex2_22:39421270-39421293:+_5-4	APOBEC3D	1656.9383549479453	1180.1766633682241	2282.1003324047338	1682.9147116539025
APOBEC3D_CCDS46709.1_ex2_22:39421082-39421105:-_5-2	APOBEC3D	2569.742718152802	2088.0048659591657	3482.2487143865055	2584.7637437363765
APOBEC3D_CCDS46709.1_ex1_22:39418990-39419013:+_5-1	APOBEC3D	3671.0610259325736	2305.883634580992	3518.6168471738324	4138.842879378497
